"Date/Time","Year","Month","Day","Mean Temp (Â°C)"
"2025-10-15","2025","10","15","5.0"
"2025-10-16","2025","10","16","4.0"
"2025-10-17","2025","10","17","3.0"
"2025-10-18","2025","10","18","2.0"
"2025-10-19","2025","10","19","1.0"
"2025-10-20","2025","10","20","0.0"
"2025-10-21","2025","10","21","-1.0"
"2025-10-22","2025","10","22","-2.0"
"2025-10-23","2025","10","23","-3.0"
"2025-10-24","2025","10","24","-4.0"
"2025-10-25","2025","10","25","-1.0"
"2025-10-26","2025","10","26","-2.0"
"2025-10-27","2025","10","27","-5.0"
"2025-10-28","2025","10","28","-6.0"
"2025-10-29","2025","10","29","-5.0"
"2025-10-30","2025","10","30","-4.0"
"2025-10-31","2025","10","31","-6.0"
"2025-11-01","2025","11","01","-7.0"
"2025-11-02","2025","11","02","-8.0"
"2025-11-03","2025","11","03","-9.0"
"2025-11-04","2025","11","04","-10.0"
"2025-11-05","2025","11","05","-8.0"
"2025-11-06","2025","11","06","-7.0"
"2025-11-07","2025","11","07","-12.0"
"2025-11-08","2025","11","08","-15.0"
"2025-11-09","2025","11","09","-13.0"
"2025-11-10","2025","11","10","-14.0"
"2025-11-11","2025","11","11","-15.0"
"2025-11-12","2025","11","12","-16.0"
"2025-11-13","2025","11","13","-17.0"
"2025-11-14","2025","11","14","-15.0"
"2025-11-15","2025","11","15","-18.0"
